Category,Honoree,Film,Winner
Actor in a Leading Role,Adrien Brody,The Brutalist,False
Actor in a Leading Role,Timothée Chalamet,A Complete Unknown,False
Actor in a Leading Role,Colman Domingo,Sing Sing,False
Actor in a Leading Role,Ralph Fiennes,Conclave,False
Actor in a Leading Role,Sebastian Stan,The Apprentice,False
Actor in a Supporting Role,Yura Borisov,Anora,False
Actor in a Supporting Role,Kieran Culkin,A Real Pain,False
Actor in a Supporting Role,Edward Norton,A Complete Unknown,False
Actor in a Supporting Role,Guy Pearce,The Brutalist,False
Actor in a Supporting Role,Jeremy Strong,The Apprentice,False
Actress in a Leading Role,Cynthia Erivo,Wicked,False
Actress in a Leading Role,Karla Sofía Gascón,Emilia Pérez,False
Actress in a Leading Role,Mikey Madison,Anora,False
Actress in a Leading Role,Demi Moore,The Substance,False
Actress in a Leading Role,Fernanda Torres,I'm Still Here,False
Actress in a Supporting Role,Monica Barbaro,A Complete Unknown,False
Actress in a Supporting Role,Ariana Grande,Wicked,False
Actress in a Supporting Role,Felicity Jones,The Brutalist,False
Actress in a Supporting Role,Isabella Rossellini,Conclave,False
Actress in a Supporting Role,Zoe Saldaña,Emilia Pérez,False
Animated Feature Film,"Gints Zilbalodis, Matīss Kaža, Ron Dyens and Gregory Zalcman",Flow,False
Animated Feature Film,Kelsey Mann and Mark Nielsen,Inside Out 2,False
Animated Feature Film,Adam Elliot and Liz Kearney,Memoir of a Snail,False
Animated Feature Film,"Nick Park, Merlin Crossingham and Richard Beek",Wallace & Gromit: Vengeance Most Fowl,False
Animated Feature Film,Chris Sanders and Jeff Hermann,The Wild Robot,False
Animated Short Film,Nicolas Keppens and Brecht Van Elslande,Beautiful Men,False
Animated Short Film,Shirin Sohani and Hossein Molayemi,In the Shadow of the Cypress,False
Animated Short Film,Daisuke Nishio and Takashi Washio,Magic Candies,False
Animated Short Film,Nina Gantz and Stienette Bosklopper,Wander to Wonder,False
Animated Short Film,Loïc Espuche and Juliette Marquet,Yuck!,False
Cinematography,Lol Crawley,The Brutalist,False
Cinematography,Greig Fraser,Dune: Part Two,False
Cinematography,Paul Guilhaume,Emilia Pérez,False
Cinematography,Ed Lachman,Maria,False
Cinematography,Jarin Blaschke,Nosferatu,False
Costume Design,Arianne Phillips,A Complete Unknown,False
Costume Design,Lisy Christl,Conclave,False
Costume Design,Janty Yates and Dave Crossman,Gladiator II,False
Costume Design,Linda Muir,Nosferatu,False
Costume Design,Paul Tazewell,Wicked,False
Directing,Sean Baker,Anora,False
Directing,Brady Corbet,The Brutalist,False
Directing,James Mangold,A Complete Unknown,False
Directing,Jacques Audiard,Emilia Pérez,False
Directing,Coralie Fargeat,The Substance,False
Documentary Feature Film,"Shiori Ito, Eric Nyari and Hanna Aqvilin",Black Box Diaries,False
Documentary Feature Film,"Basel Adra, Rachel Szor, Hamdan Ballal and Yuval Abraham",No Other Land,False
Documentary Feature Film,"Brendan Bellomo, Slava Leontyev, Aniela Sidorska and Paula DuPre' Pesmen",Porcelain War,False
Documentary Feature Film,"Johan Grimonprez, Daan Milius and Rémi Grellety",Soundtrack to a Coup d'Etat,False
Documentary Feature Film,"Julian Brave NoiseCat, Emily Kassie and Kellen Quinn",Sugarcane,False
Documentary Short Film,Kim A. Snyder and Janique L. Robillard,Death by Numbers,False
Documentary Short Film,Smriti Mundhra and Maya Gnyp,"I Am Ready, Warden",False
Documentary Short Film,Bill Morrison and Jamie Kalven,Incident,False
Documentary Short Film,Ema Ryan Yamazaki and Eric Nyari,Instruments of a Beating Heart,False
Documentary Short Film,Molly O’Brien and Lisa Remington,The Only Girl in the Orchestra,False
Film Editing,Sean Baker,Anora,False
Film Editing,David Jancso,The Brutalist,False
Film Editing,Nick Emerson,Conclave,False
Film Editing,Juliette Welfling,Emilia Pérez,False
Film Editing,Myron Kerstein,Wicked,False
International Feature Film,Brazil,I'm Still Here,False
International Feature Film,Denmark,The Girl with the Needle,False
International Feature Film,France,Emilia Pérez,False
International Feature Film,Germany,The Seed of the Sacred Fig,False
International Feature Film,Latvia,Flow,False
Makeup and Hairstyling,"Mike Marino, David Presto and Crystal Jurado",A Different Man,False
Makeup and Hairstyling,"Julia Floch Carbonel, Emmanuel Janvier and Jean-Christophe Spadaccini",Emilia Pérez,False
Makeup and Hairstyling,"David White, Traci Loader and Suzanne Stokes-Munton",Nosferatu,False
Makeup and Hairstyling,"Pierre-Olivier Persin, Stéphanie Guillon and Marilyne Scarselli",The Substance,False
Makeup and Hairstyling,"Frances Hannon, Laura Blount and Sarah Nuth",Wicked,False
Music (Original Score),Daniel Blumberg,The Brutalist,False
Music (Original Score),Volker Bertelmann,Conclave,False
Music (Original Score),Clément Ducol and Camille,Emilia Pérez,False
Music (Original Score),John Powell and Stephen Schwartz,Wicked,False
Music (Original Score),Kris Bowers,The Wild Robot,False
Music (Original Song),El Mal,Emilia Pérez,False
Music (Original Song),The Journey,The Six Triple Eight,False
Music (Original Song),Like A Bird,Sing Sing,False
Music (Original Song),Mi Camino,Emilia Pérez,False
Music (Original Song),Never Too Late,Elton John: Never Too Late,False
Best Picture,"Alex Coco, Samantha Quan and Sean Baker, Producers",Anora,False
Best Picture,"Nick Gordon, Brian Young, Andrew Morrison, D.J. Gugenheim and Brady Corbet, Producers",The Brutalist,False
Best Picture,"Fred Berger, James Mangold and Alex Heineman, Producers",A Complete Unknown,False
Best Picture,"Tessa Ross, Juliette Howell and Michael A. Jackman, Producers",Conclave,False
Best Picture,"Mary Parent, Cale Boyter, Tanya Lapointe and Denis Villeneuve, Producers",Dune: Part Two,False
Best Picture,"Pascal Caucheteux and Jacques Audiard, Producers",Emilia Pérez,False
Best Picture,"Maria Carlota Bruno and Rodrigo Teixeira, Producers",I'm Still Here,False
Best Picture,"Dede Gardner, Jeremy Kleiner and Joslyn Barnes, Producers",Nickel Boys,False
Best Picture,"Coralie Fargeat and Tim Bevan & Eric Fellner, Producers",The Substance,False
Best Picture,"Marc Platt, Producer",Wicked,False
Production Design,Production Design: Judy Becker; Set Decoration: Patricia Cuccia,The Brutalist,False
Production Design,Production Design: Suzie Davies; Set Decoration: Cynthia Sleiter,Conclave,False
Production Design,Production Design: Patrice Vermette; Set Decoration: Shane Vieau,Dune: Part Two,False
Production Design,Production Design: Craig Lathrop; Set Decoration: Beatrice Brentnerová,Nosferatu,False
Production Design,Production Design: Nathan Crowley; Set Decoration: Lee Sandales,Wicked,False
Live Action Short Film,Sam Cutler-Kreutz and David Cutler-Kreutz,A Lien,False
Live Action Short Film,Adam J. Graves and Suchitra Mattai,Anuja,False
Live Action Short Film,Victoria Warmerdam and Trent,I'm Not a Robot,False
Live Action Short Film,Cindy Lee and Darwin Shaw,The Last Ranger,False
Live Action Short Film,Nebojša Slijepčević and Danijel Pek,The Man Who Could Not Remain Silent,False
Sound,"Tod A. Maitland, Donald Sylvester, Ted Caplan, Paul Massey and David Giammarco",A Complete Unknown,False
Sound,"Gareth John, Richard King, Ron Bartlett and Doug Hemphill",Dune: Part Two,False
Sound,"Erwan Kerzanet, Aymeric Devoldère, Maxence Dussère, Cyril Holtz and Niels Barletta",Emilia Pérez,False
Sound,"Simon Hayes, Nancy Nugent Title, Jack Dolman, Andy Nelson and John Marquis",Wicked,False
Sound,"Randy Thom, Brian Chumney, Gary A. Rizzo and Leff Lefferts",The Wild Robot,False
Visual Effects,"Eric Barba, Nelson Sepulveda-Fauser, Daniel Macarin and Shane Mahan",Alien: Romulus,False
Visual Effects,"Luke Millar, David Clayton, Keith Herft and Peter Stubbs",Better Man,False
Visual Effects,"Paul Lambert, Stephen James, Rhys Salcombe and Gerd Nefzer",Dune: Part Two,False
Visual Effects,"Erik Winquist, Stephen Unterfranz, Paul Story and Rodney Burke",Kingdom of the Planet of the Apes,False
Visual Effects,"Pablo Helman, Jonathan Fawkner, David Shirk and Paul Corbould",Wicked,False
Writing (Adapted Screenplay),Screenplay by James Mangold and Jay Cocks,A Complete Unknown,False
Writing (Adapted Screenplay),Screenplay by Peter Straughan,Conclave,False
Writing (Adapted Screenplay),"Screenplay by Jacques Audiard; In collaboration with Thomas Bidegain, Léa Mysius and Nicolas Livecchi",Emilia Pérez,False
Writing (Adapted Screenplay),Screenplay by RaMell Ross & Joslyn Barnes,Nickel Boys,False
Writing (Adapted Screenplay),"Screenplay by Clint Bentley, Greg Kwedar; Story by Clint Bentley, Greg Kwedar, Clarence Maclin, John ""Divine G"" Whitfield",Sing Sing,False
Writing (Original Screenplay),Written by Sean Baker,Anora,False
Writing (Original Screenplay),"Written by Brady Corbet, Mona Fastvold",The Brutalist,False
Writing (Original Screenplay),Written by Jesse Eisenberg,A Real Pain,False
Writing (Original Screenplay),"Written by Moritz Binder, Tim Fehlbaum; Co-Written by Alex David",September 5,False
Writing (Original Screenplay),Written by Coralie Fargeat,The Substance,False
